property_id,team_id,street_part,unit_part,city,state,zipcode,full_address,token_set,type_norm
ab2fa303-e213-4671-8a54-c3ed171ed5c5,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
ab9b94cd-3c00-49e7-bf95-f4a46dacf578,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
25f53311-bfd8-451e-947c-c9162b20a434,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
dfa7c86f-8684-499f-8cbc-c4042f5fef8e,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
8daab287-eaea-4a54-9dc0-8a9c1b0e5717,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
d0cf79fb-22cf-4c8f-9c6e-5b1e9cbe3877,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
508ffd97-c174-4dfb-926a-cbbb2ff63cc5,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
bc8c2419-b365-4e4f-9309-f19d79fd3785,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
62b70052-2a71-4224-be14-9c6e33c5c668,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
7aab2875-c0d8-4a03-bc72-05308334cea8,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
da4045b1-1816-46c7-b04e-12b86d9b1d48,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
1fb9c04b-44d4-4f61-b59b-a568e5a31db4,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
7814ee92-fa3e-4fe0-819c-402c84173c8a,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
4495ffb1-07a1-4349-89f2-1252fdb287b2,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
146e335f-54c0-49c2-9ce7-610386963116,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
b24b6a88-96ea-4fe0-ac58-e6baabf741b6,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
9747aaf0-9de3-4ab4-8039-e06a92fa2166,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
b9977b7a-abb9-46e7-bd45-f3c9c4364ba4,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
d60b36fd-8efa-430a-8d4d-a0b9106bf741,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
0633460e-f733-4f50-a3ee-90664fe74ab7,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
bed57525-b27d-4af5-a68c-ff6b483ec615,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
7c1a6c58-3878-49ec-8be4-413df90c40bb,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
a349de0c-9f33-482f-8c00-977e40cbc328,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
